V1,V2,V3,__target__
85,669,0.616643,0
862,710,0.466913,1
737,247,0.40037,1
247,72,0.541671,2
752,23,0.488238,2
182,35,0.473216,2
819,28,0.405212,2
956,26,0.353918,2
357,34,0.384411,2
398,45,0.366744,2
131,44,0.353327,2
358,48,0.351617,2
810,59,0.355256,2
938,58,0.371388,2
835,60,0.366835,2
802,93,0.457248,2
951,79,0.414367,2
732,79,0.357202,2
830,81,0.381934,2
170,94,0.448962,2
131,89,0.381007,2
908,89,0.352042,2
511,100,0.49304,2
720,98,0.352099,2
906,98,0.350199,2
128,104,0.398755,2
395,110,0.373674,2
350,117,0.468522,2
980,134,0.55448,2
234,147,0.460851,2
514,132,0.355737,2
895,135,0.358879,2
637,142,0.404241,2
402,142,0.354022,2
716,149,0.40586,2
664,148,0.366888,2
892,157,0.450818,2
789,167,0.465686,2
749,164,0.391415,2
395,187,0.386049,2
172,174,0.404241,2
888,177,0.425375,2
532,192,0.561086,2
949,180,0.378173,2
225,218,0.505551,2
740,185,0.471058,2
284,196,0.381083,2
663,200,0.357228,2
805,204,0.424369,2
173,209,0.425901,2
896,208,0.37514,2
950,221,0.437537,2
291,213,0.377069,2
662,214,0.353914,2
277,216,0.368104,2
525,218,0.369739,2
736,226,0.503022,2
702,223,0.456124,2
751,323,0.532957,2
867,244,0.473259,2
898,227,0.357104,2
175,242,0.475616,2
524,238,0.400628,2
440,243,0.434832,2
701,241,0.363206,2
323,248,0.440266,2
398,251,0.417192,2
891,253,0.389444,2
940,266,0.479669,2
556,264,0.379032,2
242,284,0.469605,2
658,279,0.462799,2
122,288,0.419455,2
882,284,0.514445,2
163,298,0.433596,2
213,321,0.545369,2
325,293,0.394209,2
424,287,0.386297,2
612,297,0.386813,2
983,298,0.392576,2
704,303,0.377459,2
563,308,0.493828,2
411,313,0.416127,2
672,375,0.591797,2
604,319,0.372775,2
158,337,0.388471,2
379,331,0.371464,2
848,352,0.392198,2
317,337,0.396242,2
939,398,0.559852,2
593,371,0.491766,2
559,358,0.370245,2
187,461,0.590082,2
158,421,0.52015,2
241,370,0.377469,2
983,375,0.385386,2
376,392,0.487774,2
454,384,0.41751,2
309,387,0.423718,2
93,386,0.397194,2
122,388,0.387295,2
833,393,0.369483,2
513,398,0.387473,2
370,420,0.411558,2
502,424,0.446765,2
576,428,0.369006,2
89,433,0.485224,2
820,462,0.468145,2
885,438,0.520398,2
781,443,0.424977,2
571,449,0.411312,2
113,453,0.40864,2
543,456,0.387217,2
590,453,0.36422,2
711,472,0.448707,2
366,474,0.412064,2
650,478,0.374976,2
678,482,0.384477,2
440,491,0.397969,2
644,510,0.514036,2
136,550,0.597435,2
748,500,0.35951,2
775,510,0.472711,2
883,533,0.470391,2
794,533,0.540721,2
854,515,0.495671,2
292,518,0.388385,2
611,516,0.380927,2
68,533,0.416792,2
687,534,0.400927,2
488,527,0.363635,2
292,533,0.356293,2
538,535,0.365616,2
627,551,0.429431,2
169,557,0.392831,2
678,579,0.626572,2
74,565,0.386613,2
761,572,0.395029,2
528,584,0.503201,2
874,574,0.420231,2
166,574,0.352279,2
786,583,0.418864,2
72,584,0.388635,2
162,607,0.471461,2
569,585,0.37267,2
280,591,0.352584,2
557,609,0.499898,2
838,612,0.457799,2
72,624,0.501474,2
763,638,0.507648,2
501,609,0.399968,2
282,616,0.371457,2
130,637,0.489448,2
710,625,0.594299,2
533,663,0.574499,2
825,641,0.392173,2
148,684,0.488207,2
674,652,0.359929,2
814,665,0.480527,2
192,660,0.350429,2
271,672,0.397862,2
208,670,0.402994,2
654,675,0.385539,2
973,676,0.384444,2
17,681,0.417963,2
231,684,0.388575,2
272,690,0.386305,2
718,693,0.538405,2
636,704,0.496093,2
484,698,0.511261,2
605,693,0.389395,2
750,694,0.395178,2
518,697,0.376494,2
68,699,0.372367,2
793,714,0.509183,2
123,727,0.414007,2
216,708,0.368274,2
744,720,0.485803,2
483,719,0.3764,2
509,724,0.415,2
968,723,0.416334,2
67,763,0.526371,2
630,736,0.416501,2
504,743,0.431359,2
188,766,0.4768,2
987,745,0.418981,2
939,753,0.401099,2
548,749,0.360546,2
500,768,0.532006,2
552,763,0.413921,2
145,771,0.371238,2
861,778,0.414951,2
580,790,0.380287,2
139,802,0.510346,2
264,782,0.369835,2
952,785,0.40139,2
733,812,0.440482,2
880,792,0.367721,2
482,803,0.446222,2
863,812,0.551676,2
168,803,0.363986,2
68,810,0.3792,2
528,816,0.357202,2
956,824,0.436554,2
17,822,0.410418,2
68,824,0.387602,2
200,827,0.407293,2
521,833,0.383561,2
150,839,0.468929,2
479,854,0.405799,2
64,867,0.521611,2
626,860,0.521187,2
133,864,0.427859,2
266,861,0.380381,2
784,860,0.362352,2
322,864,0.352154,2
197,870,0.406034,2
375,872,0.448801,2
545,880,0.398718,2
140,893,0.5101,2
772,882,0.392502,2
966,897,0.429135,2
990,884,0.362484,2
102,895,0.400276,2
303,897,0.363107,2
765,906,0.545992,2
713,908,0.389427,2
1000,910,0.415797,2
48,915,0.360082,2
977,927,0.599603,2
140,943,0.501382,2
724,929,0.475707,2
642,933,0.488034,2
756,926,0.355379,2
828,928,0.355727,2
356,934,0.370861,2
860,936,0.358608,2
809,942,0.376146,2
206,952,0.352916,2
923,970,0.449412,2
791,968,0.415453,2
365,972,0.41893,2
427,974,0.413343,2
137,985,0.384619,2
513,988,0.368459,2
138,996,0.351255,2
755,1001,0.466288,2
643,1001,0.426098,2
283,121,0.703223,3
560,141,0.36257,4
390,910,0.397978,4
843,25,0.412908,2
528,32,0.361755,2
622,31,0.37911,2
776,56,0.356388,2
899,58,0.367676,2
916,60,0.364269,2
542,67,0.428889,2
415,71,0.413683,2
799,73,0.427559,2
227,89,0.452621,2
600,95,0.517786,2
16,98,0.406083,2
528,134,0.639523,2
787,120,0.465569,2
464,119,0.414061,2
619,145,0.412807,2
692,147,0.399217,2
698,174,0.452851,2
94,175,0.35429,2
448,189,0.428224,2
927,186,0.351713,2
262,201,0.521602,2
63,197,0.370189,2
624,217,0.465206,2
902,204,0.371338,2
958,210,0.444773,2
554,211,0.361997,2
552,230,0.387253,2
551,254,0.411929,2
580,259,0.389556,2
392,269,0.375551,2
260,280,0.360111,2
92,301,0.374506,2
71,328,0.418366,2
956,320,0.353383,2
694,352,0.353311,2
16,397,0.377608,2
404,410,0.351365,2
58,422,0.498944,2
684,418,0.360126,2
383,433,0.375305,2
41,463,0.407445,2
38,489,0.399253,2
50,486,0.358653,2
994,518,0.371679,2
109,582,0.50851,2
90,613,0.407212,2
21,625,0.364903,2
