year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,bplg,school,educrec,schltype,empstatg,labforce,occ1950,occscore,sei,ind1950,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,migplac5,vetstat,tranwork,__target__
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,,1,1,,1,1,,0,0,,1,1,1,1,0,0,0,0,0,1,,,0,,1
0,0,0,0,1,1,2,2,0,0,0,0,1,0,1,1,0,1,1,1,2,1,1,0,1,1,1,2,2,0,0,1,,0,1,2,0,,,,2,2,,,,,,,2,2,1,1,1,1,1,2,,,,,0
0,0,0,0,1,0,2,3,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,3,1,0,1,,0,1,3,1,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,3,1,1,0,,0
0,0,0,0,0,0,3,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,0,0,1,1,0,1,0,1,1,1,,3,3,,0,0,0,,1,3,3,0,0,0,0,0,4,,,0,0,0
0,0,0,0,0,0,4,5,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,4,1,1,0,,1,0,1,,2,1,,4,4,,0,1,,3,1,4,4,0,0,0,0,2,3,,,1,,2
0,0,0,0,0,0,5,6,0,1,0,1,2,0,1,0,0,0,1,1,0,1,1,0,1,1,2,2,5,0,1,1,,0,1,2,2,,,,2,2,,,,,,,2,2,1,1,1,1,1,5,,,,,0
0,0,0,0,1,2,2,7,0,1,0,1,0,0,0,0,0,0,1,1,5,1,1,0,1,1,3,4,3,0,0,1,1,0,1,3,1,0,0,,2,2,,,,,2,0,5,0,0,0,2,0,0,6,,,0,,0
0,0,0,0,1,1,2,8,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,6,1,0,0,,2,0,0,,0,0,,2,2,,,,,4,0,6,0,0,0,3,0,0,7,,,0,,3
0,0,0,0,1,3,2,9,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,7,0,0,1,1,3,0,0,,1,1,,5,5,,1,2,1,,1,7,5,0,0,0,0,0,8,0,0,0,0,2
0,0,0,0,1,0,2,10,0,1,1,1,0,0,0,0,0,0,1,1,4,1,1,0,1,1,4,1,8,1,0,2,,0,1,4,1,2,1,,4,6,,0,0,,1,1,8,6,0,0,0,0,0,3,1,1,1,,4
0,0,0,0,0,0,1,11,0,2,0,0,3,0,2,2,0,2,1,1,6,1,1,0,1,1,2,5,9,1,0,1,,4,0,2,,,,,2,2,,,,,,,2,2,1,1,1,1,1,9,,,,,0
0,0,0,0,1,3,2,12,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,10,1,2,1,,0,1,4,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,10,1,1,,,0
0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,2,2,0,0,8,0,0,0,2,3,0,1,,1,1,,6,7,,0,0,1,,1,9,7,0,0,0,0,0,11,,,0,1,0
0,0,0,0,1,4,2,14,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,11,0,0,1,1,0,1,5,2,,,,2,2,,,,,,,0,2,1,1,0,0,0,3,1,1,,,0
0,0,0,0,1,1,2,15,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,3,3,0,1,12,1,0,0,,5,0,1,,1,1,,7,8,,0,0,2,,1,10,8,0,0,0,0,3,12,,,0,2,2
0,0,0,0,0,0,0,16,0,1,0,1,0,0,0,0,0,0,1,1,4,2,1,0,4,4,0,1,13,0,0,2,2,0,1,0,1,1,1,,5,5,,0,2,2,,1,11,9,0,0,0,0,0,13,0,0,0,1,2
0,0,0,0,1,5,2,17,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,14,1,0,1,,0,1,4,2,,,,2,2,,,,,,,2,2,1,1,1,1,1,14,,,,,0
0,0,0,0,0,0,0,18,1,1,0,1,0,0,0,0,0,0,1,1,7,0,1,0,4,5,0,1,15,0,0,2,0,6,0,0,,1,1,,8,0,,0,2,2,,1,12,10,0,0,0,0,0,15,2,0,0,0,1
0,0,0,0,1,6,2,19,0,0,2,0,4,0,3,0,0,0,1,1,6,1,1,0,1,1,1,6,16,1,0,1,,0,1,4,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,16,1,1,,,0
0,0,0,0,1,3,2,20,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,16,1,0,1,,0,1,4,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,17,1,1,,,0
0,0,0,0,0,0,7,21,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,17,0,0,2,1,7,0,0,,1,1,,9,9,,0,2,2,,1,13,11,0,0,0,0,0,18,,,0,0,2
0,0,0,0,0,0,0,22,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,18,1,0,0,,6,0,1,,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,19,1,1,1,,2
0,0,0,0,0,0,8,12,1,1,1,0,0,0,0,1,0,1,1,1,4,1,1,0,1,1,0,2,19,0,0,1,,0,1,4,2,,,,2,2,,,,,,,2,2,1,1,1,1,1,20,0,0,,,0
0,0,0,0,0,0,6,23,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,20,0,0,2,2,7,0,1,,1,1,,1,10,,0,2,2,,1,14,12,0,0,0,0,0,21,1,1,0,0,3
0,0,0,0,0,0,9,24,0,1,0,1,0,0,0,0,0,0,1,1,7,1,1,0,1,1,4,4,21,0,0,1,,0,0,,,,,,2,2,,,,,,,2,2,1,1,1,1,1,22,,,,,0
0,0,0,0,1,3,2,25,0,0,0,0,1,0,1,1,0,1,1,1,6,1,1,0,1,1,5,2,22,0,0,1,1,0,1,3,1,2,1,,2,2,,,,,2,0,0,0,0,0,0,0,0,23,1,1,0,,0
0,0,0,0,0,0,10,26,0,1,0,1,0,0,0,0,0,0,1,1,4,2,1,0,5,6,0,1,23,0,0,2,3,0,0,6,,1,1,,10,11,,0,2,3,,1,15,3,0,0,0,0,0,24,,,0,0,1
0,1,1,0,,0,2,27,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,7,24,0,0,3,1,8,0,4,,0,0,,2,2,,,,,5,0,16,0,0,0,0,2,0,25,,,0,,0
0,0,0,0,1,7,2,28,0,0,0,1,4,1,1,0,0,0,0,0,7,1,1,0,1,1,0,0,12,0,0,0,1,0,0,1,,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,26,,,0,,0
0,0,0,0,1,8,2,29,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,19,0,0,1,,0,1,4,0,,,,2,2,,,,,,,2,2,1,1,1,1,1,3,0,0,,,0
0,0,0,0,0,0,0,30,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,25,1,2,0,,9,0,0,,1,1,,11,12,,0,2,4,,1,17,13,0,0,0,0,0,27,3,2,0,0,1
0,0,0,0,1,4,2,31,0,0,0,0,1,0,1,1,0,1,1,1,7,1,1,0,1,1,0,2,26,0,0,1,,0,0,,,,,,2,2,,,,,,,2,2,1,1,1,1,1,3,,,,,0
0,0,0,0,1,5,2,32,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,27,0,3,0,1,10,0,0,,1,1,,12,0,,0,2,2,,1,18,14,0,0,0,0,0,3,,,0,0,0
0,0,0,0,0,0,11,33,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,28,0,1,3,4,11,0,7,,0,0,,2,2,,,,,4,0,19,0,0,0,4,0,0,28,,,0,,4
0,0,0,0,0,0,0,34,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,29,1,0,1,,12,0,8,,1,1,,13,9,,0,2,2,,1,20,15,0,0,0,0,0,3,4,3,0,0,1
0,0,0,0,0,0,12,35,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,6,0,4,1,17,1,4,0,,13,1,0,1,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,29,3,2,0,,1
0,0,0,0,0,0,0,36,0,1,0,1,0,0,0,0,0,0,1,1,3,3,1,0,7,7,0,1,15,0,0,2,3,4,0,1,,1,1,,0,0,,0,2,2,,1,9,7,0,0,0,0,0,30,0,0,0,0,1
0,0,0,0,0,0,4,37,0,1,0,1,2,0,1,0,0,0,1,1,4,1,1,0,1,1,0,2,9,1,0,1,,0,1,2,2,,,,2,2,,,,,,,2,2,1,1,1,1,1,31,,,,,0
0,0,0,0,0,0,7,38,0,0,0,0,2,0,1,3,0,1,1,1,3,1,1,0,1,1,2,2,30,0,0,1,,0,0,,,,,,2,2,,,,,,,2,2,1,1,1,1,1,32,,,,,0
0,0,0,0,0,0,0,16,0,1,0,1,2,0,1,0,0,0,1,1,4,1,1,0,1,1,0,2,10,0,0,1,,0,1,4,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,13,0,0,,,0
0,0,0,0,0,0,7,39,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,31,0,0,1,1,0,0,1,,1,1,,8,0,,0,2,2,,1,21,16,0,0,0,0,0,33,0,0,0,0,1
0,0,0,0,0,0,13,40,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,11,1,0,1,,14,1,4,1,,,,2,2,,,,,,,0,2,1,1,0,0,0,34,0,0,,,0
0,0,0,0,1,3,2,41,0,0,0,0,1,0,1,1,0,1,1,1,2,1,1,0,1,1,1,2,1,1,0,1,,0,1,0,1,1,1,,12,13,,0,2,2,,1,22,17,0,0,0,0,0,35,,,0,3,0
0,0,0,0,0,0,14,42,0,1,1,1,0,0,0,0,0,0,1,1,4,1,1,0,1,1,4,4,32,0,0,3,1,12,0,4,,0,0,,2,2,,,,,2,0,23,0,0,0,5,3,0,36,,,0,,0
0,0,0,0,1,9,2,33,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,28,1,0,0,,15,0,8,,0,0,,2,2,,,,,4,0,24,0,0,0,6,0,0,37,1,1,0,,5
0,0,0,0,1,10,2,5,0,0,2,0,1,0,1,1,0,1,1,1,2,1,1,0,1,1,2,2,25,1,1,1,,14,0,0,,1,1,,1,14,,0,3,1,,1,25,18,0,0,0,0,0,3,,,0,0,0
0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,1,0,1,1,1,2,1,1,0,1,1,1,2,5,1,0,1,,8,0,7,,,,,2,2,,,,,,,2,2,1,1,1,1,1,38,,,,,0
0,0,0,0,0,0,12,43,0,0,0,0,0,0,0,0,0,0,2,0,7,2,1,0,8,8,0,1,33,1,0,0,,16,0,2,,1,1,,9,9,,1,2,2,,1,26,19,0,0,0,0,0,39,,,0,0,1
0,0,0,0,1,11,2,44,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,34,1,0,0,,17,0,8,,1,1,,10,15,,0,2,2,,1,27,20,0,0,0,0,0,40,,,,0,1
0,0,0,0,1,0,2,45,0,0,0,0,2,0,1,3,0,1,1,1,6,1,1,0,1,1,5,2,35,0,0,1,1,18,1,0,1,1,1,,14,16,,0,2,2,,1,28,21,0,0,0,0,0,41,,,0,4,0
0,0,0,0,0,0,1,46,0,1,0,1,2,0,1,0,0,0,1,1,7,1,1,0,1,1,4,2,36,0,0,1,,0,1,2,0,,,,2,2,,,,,,,2,2,1,1,1,1,1,42,0,0,,,0
0,0,0,0,1,4,2,47,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,3,0,0,1,1,19,1,6,1,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,43,,,0,,0
0,0,0,0,0,0,3,48,0,0,0,0,1,0,1,1,0,1,1,1,6,1,1,0,1,1,5,2,10,1,0,1,,0,1,7,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,44,1,1,,,0
