lineNo,assgNo,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,__target__
6978.0,212.0,0,1,80.0,119.0,119.0,80.0,673.5002,206.0874,664.0482,22.4722,41.839,119.0,119.0,0.0,1,358.0,0.2673,0.4353,0.0172,1,6,1
1145.0,34.0,0,1,119.0,259.0,259.0,517.0,419.5655,0.0,399.1253,59.6699,58.0517,259.0,259.0,0.0,0,259.0,0.2768,0.2768,0.0335,4,3,1
3815.0,122.0,1,0,99.0,298.0,298.0,139.0,278.6472,141.5883,345.9133,64.1892,61.565,298.0,298.0,0.0,0,0.0,-0.1552,0.1723,0.053,6,1,0
3199.0,98.0,1,1,319.0,20.0,20.0,199.0,89.9389,119.0851,131.5751,63.1862,71.0862,518.0,518.0,0.0,1,0.0,0.9836,0.9836,0.0365,1,3,0
695.0,22.0,1,1,159.0,557.0,557.0,219.0,120.8387,417.632,123.0366,70.2282,52.5405,139.0,139.0,994.0,0,796.0,0.2246,0.2401,0.0083,5,1,1
7666.0,236.0,1,1,258.0,278.0,278.0,159.0,277.3793,213.7832,182.3321,91.1373,103.4372,278.0,278.0,239.0,0,437.0,0.2451,0.3791,0.0279,9,3,0
3311.0,100.0,1,0,219.0,338.0,597.0,199.0,489.5575,152.8807,487.2012,67.1509,67.1193,119.0,119.0,656.0,0,0.0,0.4355,0.3375,0.0161,4,1,0
1156.0,35.0,1,0,179.0,199.0,199.0,179.0,43.2348,100.1299,106.8878,59.927,37.6431,199.0,199.0,0.0,1,199.0,0.2168,0.3843,0.0415,3,1,0
8054.0,250.0,1,0,99.0,80.0,179.0,139.0,80.5062,575.9106,98.0816,54.7083,33.2002,179.0,89.5,0.0,0,0.0,0.0163,0.3408,0.0315,8,6,1
2930.0,89.0,1,0,339.0,20.0,20.0,179.0,225.633,190.5026,266.7208,62.8172,65.025,20.0,20.0,0.0,0,0.0,0.4262,0.9337,0.003,9,3,1
3275.0,99.0,0,0,258.0,258.0,258.0,139.0,109.0287,69.5432,43.1856,83.9836,96.1587,258.0,258.0,0.0,0,0.0,0.2535,0.534,0.0368,3,3,1
4278.0,135.0,0,1,179.0,100.0,219.0,139.0,221.6309,187.0541,147.3397,73.7462,87.4757,219.0,109.5,0.0,0,577.0,0.2775,0.186,0.0135,1,3,1
7317.0,224.0,0,1,139.0,298.0,298.0,80.0,200.3902,441.5343,133.0038,69.5288,89.3826,298.0,298.0,1352.0,0,0.0,0.0713,0.4978,0.0444,9,5,0
978.0,30.0,1,1,258.0,278.0,278.0,278.0,59.1714,68.6913,94.5145,46.5672,38.3047,278.0,278.0,3480.0,0,0.0,0.0989,0.0989,0.0285,6,1,0
1830.0,57.0,0,1,179.0,139.0,139.0,219.0,64.2359,204.0055,128.0976,62.6498,60.5083,139.0,139.0,0.0,1,278.0,0.0524,0.1729,0.0155,4,1,0
5535.0,165.0,1,0,139.0,80.0,80.0,80.0,606.7125,296.527,628.996,32.0156,33.0341,80.0,80.0,0.0,0,0.0,0.0805,0.8215,0.0083,8,3,0
2049.0,65.0,0,1,99.0,99.0,99.0,119.0,277.4968,66.8431,314.0844,60.4669,54.353,99.0,99.0,0.0,0,0.0,0.1714,0.1054,0.012,9,2,0
7380.0,225.0,1,0,139.0,99.0,99.0,119.0,270.6335,113.1923,270.1296,37.2324,35.0321,139.0,139.0,0.0,0,417.0,0.4683,0.4683,0.0139,2,4,1
5633.0,167.0,1,0,179.0,238.0,238.0,139.0,78.729,65.192,214.021,127.5353,124.4869,179.0,179.0,0.0,1,179.0,0.01,0.0795,0.012,4,5,0
6237.0,183.0,1,0,139.0,139.0,139.0,119.0,1227.8477,130.3812,95.8801,31.217,33.2641,139.0,139.0,0.0,0,0.0,0.3176,0.3761,0.0133,9,2,1
4782.0,148.0,1,0,0.0,398.0,398.0,100.0,0.0,144.5545,0.0,51.1297,37.4066,398.0,398.0,0.0,0,0.0,-0.0264,0.2221,0.0227,6,2,0
2932.0,89.0,1,0,179.0,279.0,279.0,418.0,208.9527,207.4729,136.4734,77.8621,59.8018,279.0,279.0,0.0,0,0.0,0.8332,0.9337,0.0424,7,3,0
3584.0,111.0,1,1,119.0,159.0,159.0,278.0,177.3055,581.5325,189.8341,95.6151,109.4646,159.0,159.0,0.0,0,278.0,0.5605,0.374,0.0256,3,1,0
6094.0,180.0,1,0,219.0,139.0,139.0,258.0,171.2921,147.0459,114.0395,59.6091,59.5525,139.0,139.0,0.0,0,0.0,0.0921,0.0441,0.0134,3,3,0
1157.0,35.0,1,0,199.0,179.0,179.0,139.0,100.1299,151.9803,107.4244,51.1566,48.0677,179.0,179.0,0.0,0,0.0,0.2343,0.3843,0.0374,4,1,0
3370.0,103.0,1,0,119.0,119.0,119.0,119.0,159.4091,258.0237,116.297,48.4381,82.0747,119.0,119.0,0.0,0,0.0,0.0845,0.248,0.0166,3,2,0
2765.0,84.0,0,1,239.0,219.0,219.0,438.0,170.0625,308.3869,132.8345,45.5439,32.73,219.0,219.0,0.0,0,0.0,0.3527,1.8407,0.0531,4,4,1
8469.0,267.0,1,0,298.0,239.0,239.0,119.0,73.0274,173.7074,36.7696,33.3542,45.1054,239.0,239.0,0.0,0,0.0,0.3002,0.2162,0.0475,2,3,0
10180.0,310.0,1,1,80.0,99.0,198.0,99.0,87.0531,66.2873,45.0,44.4775,18.868,198.0,99.0,0.0,0,179.0,0.2032,0.1602,0.0255,8,2,1
5225.0,158.0,1,0,278.0,258.0,258.0,179.0,157.2895,290.3812,197.4285,65.622,46.4247,258.0,258.0,0.0,1,258.0,0.1468,0.1423,0.0459,1,2,1
7759.0,239.0,1,1,139.0,159.0,159.0,219.0,107.0806,109.7144,98.737,46.543,40.1061,80.0,80.0,0.0,1,399.0,0.0946,0.1806,0.0114,2,3,1
7671.0,236.0,1,1,159.0,99.0,99.0,159.0,213.6428,573.0218,133.8245,92.9624,95.0789,159.0,159.0,1512.0,0,239.0,0.1821,0.2906,0.0159,9,6,0
8453.0,266.0,1,0,179.0,159.0,298.0,119.0,297.056,130.501,375.6927,87.7055,38.4708,298.0,149.0,0.0,0,0.0,-0.0593,0.2122,0.0545,6,1,0
