V12,V23,V36,V70,V94,V121,V142,V173,V209,V312,V317,V341,V361,V378,V527,V576,V737,V743,V975,V1090,V1093,V1132,V1134,V1170,V1269,V1294,V1325,V1378,V1407,V1448,V1530,V1602,V1615,V1620,V1630,V1657,V1664,V1679,V1709,V1791,V1806,V1959,V2038,V2075,V2120,V2147,V2161,V2231,V2242,V2272,V2291,V2292,V2341,V2361,V2446,V2468,V2545,V2554,V2613,V2664,V2674,V2675,V2733,V2747,V2769,V2831,V2845,V2878,V2917,V2932,V2999,V3065,V3071,V3073,V3077,V3081,V3084,V3232,V3245,V3260,V3421,V3423,V3442,V3571,V3578,V3579,V3606,V3620,V3652,V3730,V3800,V3818,V3841,V3943,V3993,V4043,V4088,V4171,V4239,V4296,__target__
0.19374,0.17062,0.0,0.34414,1.7333,0.11885,0.032572,0.90162,0.046997,1.9978,0.0,0.1728,0.68897,0.6569,0.17502,0.0,2.5149,0.0,0.0,1.3747,0.091052,0.0,0.023688,0.0,0.0,0.13756,0.0,0.33314,0.0,0.0,0.34214,0.41205,0.04343,1.2024,0.0,0.80175,0.0,0.098394,0.19107,0.025081,0.42322,2.2464,0.0,0.0,0.8643,0.0,1.5309,0.029004,2.682,0.0,1.0501,0.0,0.08719,0.11071,0.13143,0.045398,0.009949,0.0,0.051705,0.13803,0.65394,0.0,0.008965,0.0,0.0081139,0.031902,1.3262,0.024961,0.0,0.1397,0.079171,0.96114,0.0,0.0,0.0,1.5717,0.003263,1.0283,0.41496,0.0069128,1.0938,0.0,0.0,0.0,0.0,0.47793,0.65975,0.0,0.0,0.41457,0.034049,1.0224,0.12167,0.56906,0.0,0.0,0.42012,-0.02546,0.079659,0.24922,1
0.0,0.89637,0.067447,0.0,0.040483,0.0,0.091759,0.0,0.0,3.3021,0.94337,0.0,0.22796,0.013335,2.1111,1.2449,0.4369,0.0,0.17226,3.4046,2.1843,0.080355,0.61019,0.61372,0.0,0.94298,0.0,0.33624,0.0,0.13125,0.0,0.16394,0.65597,0.17573,0.0,0.31893,0.08006,0.30791,0.023028,0.24091,0.054687,1.7026,1.847,0.0,0.092153,0.02486,1.9879,0.23664,0.57922,0.48594,0.47673,0.0,0.48964,0.69355,0.0,0.014225,0.00013499,0.0,0.24698,1.2548,0.0,0.0,0.62415,0.0,0.71189,0.8715,1.0535,0.0,0.006617,0.0,0.99853,3.8081,0.0,0.28789,0.0,1.6454,0.0,4.0393,1.1089,0.0,0.54203,0.047391,0.18791,0.0,0.0,1.0438,1.648,0.0,0.15595,2.4895,0.12143,1.2868,1.2606,1.7796,0.42522,0.67425,1.3507,-0.12049,-0.23419,-0.051293,0
0.12972,0.0,0.0,0.0,0.54718,1.5419,0.0,0.0,0.11622,0.089411,0.0,0.0,0.0,0.0,2.0188,0.0,0.10678,0.0,0.24595,0.0,0.24919,0.0,0.0,0.078327,0.0,1.8332,0.0,0.86948,0.13976,0.0,0.0,0.0,0.0,0.0,0.0,0.85673,0.0,0.42722,0.0,1.0878,2.2065,0.0,0.0,0.10071,0.66505,0.0,0.0074343,2.4336,0.52083,0.0,0.086886,0.0,1.2977,0.36956,0.0,0.51382,0.1338,2.2017,0.0,1.744,0.0,0.0,0.59343,0.0,0.92153,0.17515,1.5504,1.1578,0.04329,1.3928,0.0,0.11791,0.0,0.0,1.7028,0.94759,0.084907,0.0,1.1734,0.10929,0.11428,0.0,1.5206,1.4609,0.88273,0.17729,1.6211,0.0,0.15961,0.42939,2.0511,0.28229,0.20817,0.0,0.0,0.0,0.19671,-0.04386,0.10488,0.030877,0
0.0,0.0,0.0,0.0,0.0028802,2.5905,0.17026,0.00074985,0.016153,0.014279,0.0,1.9848,0.94786,4.1761,0.12375,0.0,1.5325,0.0,0.0,1.9861,0.0,0.092881,0.0,0.0,0.073545,0.0,0.0,0.79543,0.0,0.0,1.5715,0.10814,0.0,0.0,0.0,0.38912,0.0,0.0,0.0035444,0.0,0.19467,2.5488,0.0,0.0,0.017461,0.0,0.16493,1.0035,0.0,0.93469,1.6643,0.0,1.2928,0.0,0.0,0.0,0.0,0.0,0.99522,0.64799,0.0,0.0,0.8172,0.0,1.2997,0.0,0.28712,0.0,0.097179,0.26302,0.0,0.46258,0.0,0.0,0.0,1.4966,0.0,0.030322,0.083959,0.0,2.3269,0.0,0.0,0.0,0.0,0.044339,1.9988,0.0,0.0,0.0,1.9681,0.74332,0.97483,0.90672,0.0,0.77513,0.64036,-0.12669,-0.31545,0.16227,0
0.0,0.0,0.0,0.0,0.0,0.62918,0.0,0.0,0.0,0.0,0.46428,0.166,0.010626,0.0,0.0,0.0,1.1971,0.096043,0.91611,0.0,3.2716,1.0496,0.0,0.0,0.0,0.0,0.0,0.70598,0.0076563,0.0,0.0,2.029,0.046005,3.3637,0.0,0.44984,0.0,0.0081508,0.0,0.0,0.39746,0.06408,0.62338,0.0,5.8088,0.0,0.07302,0.46705,0.0,0.0,0.0,0.80605,0.070909,0.0,0.58303,0.0,3.1094,0.0,0.0,0.0,0.0,0.12643,0.068491,0.0,3.3674,0.23458,0.0,0.0,0.0,0.0,0.23197,0.13994,0.0,0.12974,0.0,4.3747,0.0,0.0,2.2996,0.0,0.0,0.0,0.58184,0.0,0.0,0.014134,2.2696,0.0,1.5144,3.8137,2.7615,1.2377,5.0715,0.0,0.049916,0.0,0.64732,-0.045239,-0.33497,-0.45309,0
0.0,1.8476,0.0,0.0,0.0,0.032494,1.4226,1.9973,0.0,0.10168,0.0,0.25531,0.17588,4.208,1.5057,0.0,1.0737,0.0,0.46909,0.0,0.0,1.8272,0.0,0.27994,0.0,0.061956,0.0,0.0,0.0,0.17066,0.021999,0.0,0.45086,0.96908,0.0,0.0,0.0,0.040036,0.0,2.1199,0.24141,0.0,0.22351,0.0,0.022798,0.0,0.0,0.22846,0.25888,0.51756,0.012626,0.0,0.0,0.0,0.0,0.15949,0.27323,0.41791,0.0,0.50147,0.0,0.0,0.12163,0.0,3.0357,0.2228,0.97242,0.061187,0.0,3.1082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39042,0.69609,0.38202,0.12233,0.0,0.062699,0.0,0.0,0.22252,0.0,0.0,0.0,0.42582,0.0057292,1.6118,0.0,0.0,0.0,2.5066,0.2589,0.023005,-0.12894,0
0.09253,0.61022,0.97222,0.0,0.0,0.5223,2.3715,0.0,0.064816,0.3793,0.0,0.0,0.0,0.0,0.51366,0.42969,0.090399,0.16062,2.4824,0.085562,2.6564,0.65818,0.011678,2.4988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017675,0.037239,4.783,0.0,0.0,0.0,0.62177,0.0,0.0,0.31408,0.90898,1.4307,0.30406,0.56105,3.9465,0.0,0.73606,0.090296,0.0,0.0,0.07564,2.4885,2.5213,0.0,0.69839,0.0,2.4003,0.0,0.21411,0.0,0.065923,0.0,0.0,0.16483,0.0,0.042755,0.0,0.0,0.0,0.0,0.51089,0.0,0.0,1.4901,0.0,0.0,0.0,0.0,0.026238,0.0,0.0,2.1737,0.0,0.0,1.1099,0.081468,3.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11424,-0.055044,-0.080883,0
0.0,0.79412,0.3412,0.0,0.17697,0.012502,0.080215,0.0,0.043487,1.9899,2.2484,0.0,0.034278,0.2819,0.11507,0.04629,0.55366,0.01143,0.0089125,0.4103,0.0,0.86209,0.13971,1.3465,0.10371,0.64958,0.017267,0.024709,0.094273,0.80006,0.40881,0.18198,1.9498,1.461,0.025363,0.4221,0.57527,0.92697,0.0,0.87071,1.3356,0.88897,0.24193,0.0,1.3808,0.021171,0.0026257,0.55543,0.82864,0.07176,0.2065,0.23805,0.10665,0.0,0.0,0.0,0.64769,0.0,0.010841,0.52256,0.0,0.0,0.55273,0.0,1.5352,1.0134,1.2891,0.031093,0.0,0.39177,0.60129,1.8125,0.0,0.0,0.61484,0.99005,0.0,2.0773,0.35254,0.043878,0.075446,0.010832,0.0,0.039545,0.0,1.3335,1.4384,0.0,1.9002,1.5452,1.3355,0.58518,1.0447,0.30823,1.1422,0.5308,1.0872,-0.15822,-0.15415,0.4063,1
0.0,0.51461,1.0984,0.0,0.0,0.0,0.015793,0.98604,0.98397,0.72295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0016,0.068301,0.0,0.023521,4.6129,0.0,0.16663,0.0,0.0088678,0.0,0.14216,0.0,0.0,0.0,0.0,0.0,0.56235,0.0,0.059348,0.1719,0.0,0.0,0.054652,0.22661,0.13042,0.082551,0.0068855,0.0,0.043613,0.085224,1.4552,0.0,0.0,0.39917,3.4447,0.8446,0.0,0.0,0.0,0.74197,0.064195,0.0,1.1493,0.0,0.11297,0.0,2.8424,0.14125,0.0,0.33999,0.085854,0.0,0.17856,0.47388,1.3288,0.0,0.0,0.010298,0.56545,0.0,0.0,0.0,1.0461,0.3686,0.0,1.5959,1.1329,3.0943,0.095214,3.4036,1.988,0.0,0.0,0.011046,0.0,0.0,0.2033,0.0,0.27668,0.0,0.25448,-0.057853,0.19053,0
0.0,0.14427,0.0,0.0,0.050231,0.55587,0.47106,0.0,0.15081,2.1753,0.27399,0.067057,0.85123,0.0,0.0,0.70173,1.1511,0.0,0.30481,0.87327,0.0,0.0,0.64498,0.7654,0.0,0.16154,0.17348,1.0389,0.0,0.0,0.0,0.0,0.0,0.11639,0.0,0.72764,0.01081,0.21309,0.0,0.0,0.36143,2.2024,0.087943,0.0,0.37769,0.0,0.76245,0.49143,0.36219,0.8059,0.0,0.0,2.4618,0.79015,0.0,0.017777,0.11322,0.0,0.068138,0.42454,0.0,0.0,0.31037,0.0,0.0,0.0,0.019763,0.0075438,0.0,0.0,0.0,0.39492,0.0,0.0,0.067004,0.98574,0.0,0.0,0.31917,0.10758,0.38628,0.0,0.70973,0.0,0.0,0.0,0.36178,0.0,0.035394,0.0,0.027956,0.0,0.0,0.031249,0.0,0.001766,0.32573,-0.011217,0.18511,0.40009,1
